GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,default,Main,152,3,4,0,39,1,7,1,5,1
JaCoCo Ant Example,snmp.exceptions,OIDDoesNotExistsException,8,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,snmp.exceptions,SNMPTimeOutException,8,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,snmp.exceptions,KeyNotFoundException,8,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,snmp.exceptions,WrongAuthentication,8,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,snmp.exceptions,WrongSnmpVersion,8,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,snmp.exceptions,WrongSnmpVersionException,8,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,snmp.exceptions,NoResultException,8,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,snmp.exceptions,WrongTransportProtocolException,8,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,snmp.exceptions,WrongAuthenticationException,8,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,snmp.exceptions,WrongTransportProtocol,8,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,snmp.exceptions,PDURequestFailedException,25,0,0,0,7,0,3,0,3,0
JaCoCo Ant Example,snmp.exceptions,TreeEventException,8,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,telnet,TelnetClient,561,0,40,0,130,0,25,0,5,0
JaCoCo Ant Example,graphic.view,GraphicConfigController,15,0,0,0,7,0,4,0,4,0
JaCoCo Ant Example,graphic.view,GraphicOverviewController,126,0,0,0,20,0,14,0,14,0
JaCoCo Ant Example,graphic.model,Input,232,0,0,0,73,0,45,0,45,0
JaCoCo Ant Example,ssh,SSHManager,109,0,4,0,32,0,7,0,5,0
JaCoCo Ant Example,ssh,SSHConnector,140,0,4,0,38,0,12,0,10,0
JaCoCo Ant Example,snmp,USMAuthentication,150,0,2,0,31,0,9,0,8,0
JaCoCo Ant Example,snmp,Mapping,199,0,12,0,43,0,10,0,4,0
JaCoCo Ant Example,snmp,SNMPTrapReceiver,257,0,12,0,49,0,11,0,5,0
JaCoCo Ant Example,snmp,SnmpV1,305,0,28,0,78,0,24,0,10,0
JaCoCo Ant Example,snmp,CommunityAuthentication,104,0,4,0,24,0,9,0,7,0
JaCoCo Ant Example,snmp,SnmpV2c,317,0,30,0,79,0,25,0,10,0
JaCoCo Ant Example,snmp,SnmpV3,315,0,28,0,78,0,24,0,10,0
JaCoCo Ant Example,graphic,GraphicApp,328,0,2,0,77,0,11,0,10,0
JaCoCo Ant Example,commands,ActionCommand,75,0,4,0,21,0,4,0,2,0
JaCoCo Ant Example,commands,GetTableCommand,15,0,0,0,5,0,2,0,2,0
JaCoCo Ant Example,commands,SetPolicy,44,0,0,0,8,0,2,0,2,0
JaCoCo Ant Example,events,SendMail,53,0,0,0,18,0,2,0,2,0
JaCoCo Ant Example,events,Mail,292,0,18,0,74,0,24,0,15,0
JaCoCo Ant Example,content,Base,102,0,4,0,24,0,8,0,6,0
